Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category
Nurse,91134,17,Bachelor's,0.39,0.88,0.05,Low
Data Scientist,76647,22,PhD,0.92,0.8,0.55,Medium
AI Engineer,138197,12,Bachelor's,0.08,0.9,0.14,Low
Lawyer,76413,18,Bachelor's,0.9,0.77,0.67,Medium
AI Engineer,112604,20,Bachelor's,0.54,1.35,0.06,Low
AI Engineer,61478,7,Bachelor's,0.42,1.03,0.08,Low
Security Guard,92402,27,High School,0.67,1.4,0.77,High
HR Specialist,65319,18,High School,0.1,0.66,0.33,Medium
Retail Worker,58830,28,PhD,0.09,1.13,0.82,High
AI Engineer,59328,16,Bachelor's,0.9,1.37,0.27,Low
Teacher,36123,21,High School,0.86,1.44,0.1,Low
Graphic Designer,66587,4,High School,0.22,1.22,0.62,Medium
Data Scientist,51951,7,Bachelor's,0.58,0.57,0.32,Medium
Retail Worker,37804,10,Bachelor's,0.45,0.85,0.91,High
Security Guard,40349,7,High School,0.75,0.75,0.88,High
Data Scientist,136203,9,PhD,0.51,1.31,0.59,Medium
Mechanic,86317,10,Bachelor's,0.18,1.3,0.48,Medium
Nurse,117385,11,High School,0.56,0.58,0.28,Low
Lawyer,109841,8,PhD,0.26,0.97,0.39,Medium
Nurse,95197,6,High School,0.18,0.87,0.06,Low
HR Specialist,93410,4,Master's,0.42,1.11,0.6,Medium
Chef,104225,17,High School,0.18,1.42,0.6,Medium
AI Engineer,67499,1,Master's,0.29,0.67,0.25,Low
Mechanic,130537,23,Bachelor's,0.16,1.09,0.66,Medium
Retail Worker,118627,16,High School,0.2,0.91,0.85,High
Software Engineer,99074,21,Master's,0.63,0.92,0.52,Medium
HR Specialist,71716,0,Bachelor's,0.15,0.98,0.52,Medium
Teacher,132033,21,PhD,0.93,1.47,0.25,Low
Doctor,40715,11,Master's,0.53,1.05,0.28,Low
Research Scientist,77553,23,PhD,0.14,0.6,0.19,Low
Financial Analyst,36861,14,Master's,0.15,1.41,0.41,Medium
Software Engineer,70154,27,PhD,0.38,1.03,0.68,Medium
Construction Worker,93576,13,High School,0.82,1.03,0.78,High
Teacher,127294,11,PhD,0.31,1.03,0.1,Low
Lawyer,139875,5,Bachelor's,1,0.5,0.31,Medium
Security Guard,52925,15,High School,0.32,1.48,0.88,High
Teacher,119779,1,Bachelor's,0.01,0.96,0.06,Low
Teacher,87702,15,PhD,0.02,1.45,0.14,Low
Data Scientist,127556,8,High School,0.64,1.35,0.52,Medium
Research Scientist,46289,22,Master's,0.25,0.8,0.14,Low
Retail Worker,115823,29,Master's,0.84,0.93,0.86,High
Construction Worker,55966,27,PhD,0.03,1.32,0.77,High
HR Specialist,98560,23,Bachelor's,0.86,0.68,0.52,Medium
Construction Worker,109023,28,Bachelor's,0,0.84,0.94,High
Mechanic,112455,28,PhD,0.46,0.7,0.42,Medium
Security Guard,42930,13,Bachelor's,0.44,1.08,0.83,High
Lawyer,48065,14,PhD,0.56,1.2,0.38,Medium
Mechanic,86422,12,Bachelor's,0.28,0.88,0.34,Medium
Teacher,69305,21,PhD,0.06,0.68,0.08,Low
Customer Support,105355,9,High School,0.69,1.03,0.81,High
Security Guard,31776,7,Bachelor's,0.19,1,0.91,High
Chef,113187,14,Bachelor's,0.51,0.85,0.37,Medium
Security Guard,44937,26,Bachelor's,0.17,0.69,0.93,High
Retail Worker,77259,23,Master's,0.23,0.91,0.88,High
Software Engineer,48225,11,High School,0.96,0.73,0.34,Medium
Nurse,101519,10,High School,0.29,0.71,0.12,Low
Graphic Designer,100994,10,Master's,0.74,1.46,0.64,Medium
Customer Support,49450,20,PhD,0.06,1.12,0.76,High
Graphic Designer,148585,8,Bachelor's,0.22,1.47,0.59,Medium
Customer Support,106970,29,PhD,0.51,0.81,0.81,High
Customer Support,31112,25,High School,0.45,1.16,0.71,High
Research Scientist,117351,15,Master's,0.31,0.89,0.14,Low
AI Engineer,51661,1,Bachelor's,0.26,1.37,0.21,Low
Graphic Designer,67443,12,PhD,0.65,1.24,0.3,Low
UX Researcher,44234,4,Bachelor's,0.34,1.03,0.56,Medium
Software Engineer,134383,0,High School,0.94,1.22,0.52,Medium
Security Guard,72320,6,High School,0.9,0.85,0.94,High
Customer Support,91196,11,Bachelor's,0.73,0.78,0.88,High
Security Guard,104861,0,Bachelor's,0.39,0.99,0.77,High
HR Specialist,148169,20,PhD,0.65,0.5,0.4,Medium
Chef,89630,13,High School,0.32,0.85,0.38,Medium
Mechanic,127435,3,PhD,0.57,0.69,0.62,Medium
Mechanic,114845,4,Bachelor's,0.66,1.19,0.65,Medium
HR Specialist,49053,28,Bachelor's,0.67,1.43,0.57,Medium
Nurse,100683,3,Master's,0.41,0.74,0.08,Low
Construction Worker,120153,20,Bachelor's,0.46,0.75,0.79,High
Marketing Manager,129926,0,High School,0.86,0.6,0.44,Medium
Retail Worker,43140,13,PhD,0.6,1.06,0.8,High
Data Scientist,104362,11,PhD,0.31,0.98,0.69,Medium
Financial Analyst,73030,5,PhD,0.24,0.92,0.67,Medium
Nurse,54400,18,PhD,0.02,0.65,0.14,Low
Nurse,33760,20,PhD,0.02,0.53,0.17,Low
Retail Worker,122930,21,Bachelor's,0.14,1.16,0.87,High
HR Specialist,33323,29,Bachelor's,0.72,1.14,0.51,Medium
Lawyer,65098,10,PhD,0.22,0.68,0.31,Medium
Chef,101153,11,PhD,0.62,0.63,0.55,Medium
Security Guard,101279,14,Bachelor's,0.49,1.36,0.81,High
Data Scientist,143115,0,Bachelor's,0.43,1.08,0.6,Medium
Graphic Designer,149487,7,Bachelor's,0.21,1.41,0.66,Medium
Software Engineer,123304,23,Master's,0.93,1.06,0.4,Medium
Marketing Manager,134134,6,Master's,0.32,1.49,0.57,Medium
Graphic Designer,107199,25,Bachelor's,0.46,0.51,0.49,Medium
Teacher,132658,11,High School,0.24,0.76,0.13,Low
Data Scientist,41352,4,PhD,0.93,1.26,0.32,Medium
UX Researcher,43679,21,High School,0.04,1.1,0.46,Medium
Doctor,122345,27,PhD,0.12,0.68,0.29,Low
HR Specialist,108179,29,High School,0.82,1.02,0.52,Medium
Construction Worker,77878,18,PhD,0.73,1.33,0.73,High
Construction Worker,125777,29,PhD,0.51,1.31,0.89,High
Data Scientist,112124,0,High School,0.65,1.03,0.39,Medium
Mechanic,126367,11,PhD,0.46,0.54,0.31,Medium
Truck Driver,77080,11,Bachelor's,0.1,1.02,0.88,High
Chef,61280,2,High School,0.52,1.26,0.43,Medium
Marketing Manager,39835,27,Master's,0.74,0.52,0.56,Medium
Graphic Designer,52369,10,High School,0.36,1.15,0.6,Medium
HR Specialist,30637,8,High School,0.74,0.84,0.45,Medium
Security Guard,62209,27,Master's,0.9,0.84,0.89,High
Doctor,70478,1,Master's,0.69,1.18,0.26,Low
Nurse,90760,9,Master's,0.29,1.41,0.18,Low
Truck Driver,52505,0,Master's,0.69,0.84,0.73,High
Financial Analyst,140441,22,High School,0.16,0.96,0.54,Medium
Research Scientist,108944,24,PhD,0.43,1.05,0.26,Low
Security Guard,40886,21,Master's,0.85,0.99,0.91,High
Customer Support,85744,21,High School,0.53,0.78,0.92,High
Retail Worker,75778,29,Master's,0.73,0.75,0.88,High
HR Specialist,88764,7,High School,0.69,1.4,0.58,Medium
Financial Analyst,62795,20,Bachelor's,0.19,1.04,0.41,Medium
Marketing Manager,107223,6,Bachelor's,0.69,0.61,0.56,Medium
Security Guard,98835,2,High School,0.35,1.21,0.83,High
AI Engineer,139640,22,Bachelor's,0.76,1.33,0.27,Low
Construction Worker,87225,4,PhD,0.17,0.85,0.89,High
Retail Worker,37466,7,PhD,0.88,0.85,0.84,High
Data Scientist,80530,11,PhD,0.15,1.26,0.59,Medium
Chef,40040,29,High School,0.05,1.46,0.41,Medium
Marketing Manager,145874,13,PhD,0.52,1.04,0.51,Medium
Graphic Designer,60985,26,High School,0.51,0.68,0.62,Medium
Truck Driver,57262,25,High School,0.48,1.33,0.9,High
AI Engineer,102022,26,High School,0.95,0.56,0.27,Low
Nurse,31320,16,Master's,0.89,1.14,0.22,Low
Security Guard,84681,0,Master's,0.78,1.26,0.9,High
Research Scientist,82167,21,PhD,0.2,0.74,0.11,Low
Software Engineer,64477,20,Bachelor's,0.63,1.08,0.69,Medium
UX Researcher,32565,13,High School,0.58,1.49,0.45,Medium
Security Guard,112915,15,High School,0.13,0.96,0.77,High
Security Guard,103251,9,PhD,0.08,0.96,0.95,High
Graphic Designer,51258,26,PhD,0.3,0.54,0.67,Medium
Construction Worker,115535,15,Bachelor's,0.09,1.13,0.83,High
Graphic Designer,101156,10,Master's,0.04,1.11,0.62,Medium
Customer Support,127417,6,PhD,0.95,1.04,0.87,High
Graphic Designer,60066,13,PhD,0.92,0.85,0.59,Medium
Doctor,78359,23,Bachelor's,0.54,1.46,0.27,Low
Graphic Designer,78225,8,Bachelor's,0.24,0.54,0.69,Medium
Marketing Manager,135633,12,Bachelor's,0.91,1.47,0.4,Medium
Software Engineer,32599,20,High School,0.87,1.25,0.39,Medium
Software Engineer,41394,24,Bachelor's,0.69,1.41,0.68,Medium
Customer Support,91351,4,Bachelor's,0.94,0.51,0.88,High
Marketing Manager,60480,15,PhD,0.64,1.27,0.56,Medium
Truck Driver,113442,4,Bachelor's,0.68,1.25,0.74,High
Financial Analyst,32199,20,PhD,0.85,1.26,0.54,Medium
Doctor,111646,27,High School,0.43,0.64,0.09,Low
Lawyer,146536,28,High School,0.13,1.35,0.54,Medium
Retail Worker,100072,15,Master's,0.02,0.79,0.81,High
UX Researcher,41246,26,High School,0.98,0.57,0.66,Medium
Security Guard,120088,5,PhD,0.78,0.69,0.87,High
Nurse,41913,21,Master's,0.33,1.38,0.2,Low
Lawyer,127771,14,PhD,0.98,1.34,0.62,Medium
Teacher,82035,28,PhD,0.79,0.67,0.06,Low
Nurse,106970,21,Master's,0.76,1.45,0.14,Low
Financial Analyst,75643,9,PhD,0.58,0.87,0.44,Medium
Doctor,111751,13,PhD,0.44,0.57,0.29,Low
Software Engineer,145650,29,Bachelor's,0.56,0.61,0.69,Medium
Construction Worker,94649,9,Bachelor's,0.25,1.36,0.93,High
Research Scientist,95615,25,Bachelor's,0.72,0.53,0.19,Low
Truck Driver,144317,8,PhD,0.47,1.01,0.91,High
Marketing Manager,66640,11,Bachelor's,0.74,1.04,0.33,Medium
Security Guard,47528,4,Master's,0.81,1.44,0.74,High
Doctor,53655,12,PhD,0.44,0.95,0.14,Low
Data Scientist,102264,4,PhD,0.93,0.95,0.57,Medium
Research Scientist,42550,15,High School,0.39,1.18,0.27,Low
UX Researcher,91284,13,High School,0.42,1.36,0.39,Medium
Data Scientist,51200,20,High School,0.25,0.61,0.65,Medium
Nurse,147529,14,Bachelor's,0.09,1.37,0.12,Low
Doctor,46151,5,Bachelor's,0.39,0.57,0.14,Low
Chef,146849,28,Bachelor's,0.33,1.28,0.4,Medium
HR Specialist,44537,21,Master's,0.23,0.75,0.51,Medium
Retail Worker,72294,14,Bachelor's,0.95,1.46,0.88,High
Retail Worker,45749,23,High School,0.33,0.63,0.9,High
UX Researcher,91561,20,High School,0.25,1.39,0.6,Medium
Financial Analyst,55757,10,Bachelor's,0.55,1.34,0.37,Medium
Financial Analyst,32251,9,Bachelor's,0.68,0.75,0.5,Medium
Teacher,94274,3,High School,0.98,0.97,0.27,Low
Financial Analyst,136023,0,Bachelor's,0.3,1.15,0.5,Medium
Graphic Designer,126746,18,High School,0.53,0.52,0.36,Medium
Graphic Designer,115421,2,High School,0.47,1.24,0.36,Medium
Retail Worker,45817,8,High School,0.14,1.45,0.93,High
Doctor,76205,7,High School,0.38,0.62,0.11,Low
Lawyer,142398,26,Master's,0.3,1.06,0.57,Medium
Software Engineer,54453,10,High School,0.77,1.24,0.66,Medium
UX Researcher,129821,29,Master's,0.19,0.77,0.56,Medium
Research Scientist,89615,10,Bachelor's,0.27,1.32,0.23,Low
Construction Worker,57470,9,PhD,0.95,0.71,0.83,High
Chef,102082,12,High School,0.38,1.37,0.45,Medium
Financial Analyst,90639,23,Bachelor's,0.17,0.78,0.51,Medium
Customer Support,61854,28,High School,0.78,1.39,0.84,High
Marketing Manager,110882,2,Master's,0.55,0.62,0.67,Medium
AI Engineer,143352,14,Bachelor's,0.97,0.96,0.29,Low
Mechanic,91922,9,PhD,0.98,1.29,0.7,Medium
Security Guard,116195,15,High School,0.33,1.08,0.78,High
Chef,91775,24,High School,0.3,0.68,0.55,Medium
Construction Worker,86776,9,PhD,0.3,1.12,0.79,High
Mechanic,142192,18,High School,0.85,0.74,0.58,Medium
Teacher,120351,1,Bachelor's,0.43,0.84,0.13,Low
Customer Support,50080,3,Master's,0.37,0.71,0.92,High
Truck Driver,95729,5,PhD,0.77,0.52,0.81,High
Customer Support,123330,1,Bachelor's,0.45,0.58,0.87,High
Teacher,96302,29,Master's,0.99,1.33,0.12,Low
HR Specialist,97986,4,High School,0.93,0.72,0.58,Medium
Mechanic,43776,23,Bachelor's,0.32,0.64,0.52,Medium
UX Researcher,37163,0,Bachelor's,0.44,1.36,0.37,Medium
Chef,135001,17,PhD,0.35,1.29,0.55,Medium
Security Guard,108156,8,High School,0.87,0.89,0.79,High
Research Scientist,68842,28,Master's,0.95,0.51,0.1,Low
Construction Worker,78039,0,High School,0.38,1.41,0.9,High
Marketing Manager,59552,1,PhD,0.88,0.84,0.45,Medium
UX Researcher,144759,18,Bachelor's,0.54,1.21,0.44,Medium
Construction Worker,131442,13,Bachelor's,0.89,0.86,0.86,High
Graphic Designer,126969,24,Bachelor's,0.81,0.79,0.7,Medium
Teacher,111606,11,Bachelor's,0.79,0.96,0.1,Low
Teacher,137904,28,PhD,0.94,1.21,0.24,Low
Research Scientist,93878,11,Master's,0.2,0.81,0.17,Low
Doctor,71986,2,PhD,0.66,1.46,0.08,Low
Retail Worker,65169,23,Bachelor's,0.08,0.51,0.85,High
AI Engineer,47330,9,PhD,0.11,0.58,0.06,Low
Marketing Manager,119937,16,PhD,0.54,0.96,0.48,Medium
Mechanic,113301,23,PhD,0.37,1.38,0.35,Medium
Research Scientist,81899,17,Master's,0.42,1.04,0.19,Low
Construction Worker,100390,3,Master's,0.81,0.86,0.82,High
Graphic Designer,106019,26,Master's,0.4,1.15,0.51,Medium
Mechanic,129878,15,Bachelor's,0.6,0.66,0.42,Medium
UX Researcher,55463,8,High School,0.5,1.2,0.33,Medium
UX Researcher,115275,13,PhD,0.6,1.01,0.31,Medium
Retail Worker,81408,2,High School,0.39,0.72,0.89,High
Truck Driver,93305,29,High School,0.92,1.17,0.82,High
Financial Analyst,115442,3,Bachelor's,0.67,0.77,0.35,Medium
Customer Support,86467,21,Master's,0.37,0.6,0.76,High
Construction Worker,87304,26,Master's,0.65,0.94,0.76,High
Teacher,62734,29,PhD,0.13,0.62,0.17,Low
Teacher,76865,12,Master's,0.61,1.22,0.14,Low
Lawyer,147882,3,Bachelor's,0.3,1.06,0.4,Medium
AI Engineer,126666,18,High School,0.58,1.43,0.13,Low
Doctor,113319,3,Bachelor's,0.14,0.62,0.12,Low
Nurse,134041,5,Master's,0.91,1.37,0.16,Low
Teacher,43760,26,Master's,0.29,0.85,0.17,Low
Financial Analyst,118670,29,Master's,0.53,0.88,0.36,Medium
Security Guard,80806,19,Master's,0.03,0.84,0.85,High
Financial Analyst,83276,4,Bachelor's,0.29,1.48,0.32,Medium
Customer Support,58897,18,Master's,0.74,1.19,0.78,High
Lawyer,44842,0,Bachelor's,0.2,1.45,0.33,Medium
Construction Worker,115984,27,Bachelor's,0.31,1.1,0.76,High
UX Researcher,105664,4,PhD,0.24,1.46,0.6,Medium
Teacher,130777,22,PhD,0.57,1.22,0.24,Low
Doctor,82723,29,PhD,0.04,0.84,0.15,Low
HR Specialist,104039,5,High School,0.81,1.01,0.58,Medium
Mechanic,33974,17,Master's,0.58,0.89,0.34,Medium
Construction Worker,148821,24,Master's,0.62,1.26,0.91,High
Construction Worker,51944,1,High School,0.07,0.7,0.72,High
Construction Worker,127065,3,Master's,0.56,0.75,0.76,High
Security Guard,130874,25,High School,0.88,1.48,0.82,High
Financial Analyst,41039,9,PhD,0.05,0.66,0.46,Medium
Mechanic,102816,5,Bachelor's,0.91,0.73,0.58,Medium
Data Scientist,133722,9,Bachelor's,0.31,0.65,0.47,Medium
Customer Support,136657,8,PhD,0.16,0.69,0.93,High
Nurse,135817,9,High School,0.82,1.14,0.11,Low
Software Engineer,93483,25,PhD,0.25,0.68,0.48,Medium
Retail Worker,111165,4,PhD,0.99,1.18,0.93,High
Data Scientist,73815,28,PhD,0.26,0.73,0.46,Medium
Construction Worker,40244,20,PhD,0.62,1.07,0.74,High
Data Scientist,116483,5,High School,0.29,0.66,0.58,Medium
Data Scientist,149346,28,High School,0.32,1.1,0.46,Medium
UX Researcher,104399,19,PhD,0.66,1.1,0.47,Medium
Mechanic,92327,4,High School,0.53,0.68,0.55,Medium
Teacher,111399,1,PhD,0.2,1.31,0.26,Low
Teacher,114267,28,PhD,0.59,0.79,0.09,Low
Truck Driver,93537,18,High School,0.95,1.3,0.75,High
Chef,144147,11,Bachelor's,0.1,1.1,0.42,Medium
Construction Worker,126172,19,Master's,0.18,0.51,0.8,High
Software Engineer,108267,16,Bachelor's,0.03,0.86,0.6,Medium
Retail Worker,56013,0,High School,0.76,1.42,0.76,High
Chef,43829,14,Bachelor's,0.14,1.34,0.49,Medium
Security Guard,42391,10,High School,0.87,1.03,0.79,High
Teacher,55123,8,Master's,0.75,1.45,0.17,Low
Graphic Designer,147420,27,PhD,0.59,1.03,0.68,Medium
Data Scientist,120299,5,High School,0.16,0.85,0.63,Medium
HR Specialist,69140,2,PhD,0.59,0.88,0.43,Medium
Retail Worker,113698,3,PhD,0.84,1.08,0.92,High
Truck Driver,75939,26,High School,0.07,1.12,0.94,High
Truck Driver,54180,13,Bachelor's,0.06,1.41,0.84,High
Nurse,125941,7,Master's,0.24,0.95,0.08,Low
Construction Worker,42003,4,Master's,0.63,1.31,0.91,High
AI Engineer,46915,29,Master's,0.53,1.35,0.18,Low
AI Engineer,59179,21,High School,0.19,1.37,0.08,Low
Financial Analyst,119257,5,Bachelor's,0.22,0.65,0.42,Medium
Marketing Manager,113994,8,High School,0.85,1.13,0.56,Medium
Doctor,88742,5,Bachelor's,0.68,1.46,0.1,Low
Financial Analyst,65963,15,Master's,0.18,0.82,0.32,Medium
HR Specialist,128770,11,Bachelor's,0.15,1.11,0.5,Medium
Chef,61977,24,PhD,0.5,1.48,0.68,Medium
UX Researcher,86195,10,Bachelor's,0.22,0.52,0.6,Medium
Graphic Designer,35136,17,Master's,1,1.25,0.55,Medium
Mechanic,139950,28,Master's,0.3,1.08,0.52,Medium
UX Researcher,133488,28,PhD,0.85,0.56,0.36,Medium
Doctor,87251,29,PhD,0.96,1.43,0.12,Low
Truck Driver,48456,27,Master's,0.79,1.03,0.84,High
Construction Worker,134042,12,High School,0.79,1.41,0.75,High
Software Engineer,42054,7,Bachelor's,0.43,1.4,0.51,Medium
AI Engineer,73441,18,PhD,0.86,1.39,0.21,Low
Marketing Manager,80321,27,High School,0.29,1.1,0.37,Medium
Data Scientist,94566,27,Bachelor's,0.31,1.01,0.53,Medium
HR Specialist,42857,5,Master's,0.76,1.02,0.56,Medium
Doctor,114271,7,Bachelor's,0.12,1.27,0.07,Low
UX Researcher,104745,20,High School,0.85,1.32,0.6,Medium
Financial Analyst,119729,24,Master's,0.99,1.19,0.31,Medium
Lawyer,58134,20,Bachelor's,0.67,1.17,0.66,Medium
Truck Driver,57987,28,High School,0.59,1.04,0.81,High
UX Researcher,135454,1,PhD,0.36,1.44,0.65,Medium
Financial Analyst,60539,3,PhD,0.66,1.44,0.38,Medium
Lawyer,113081,17,PhD,0.92,0.67,0.41,Medium
HR Specialist,146180,1,High School,0.52,1.23,0.31,Medium
Teacher,140164,17,PhD,0.97,1.48,0.17,Low
Lawyer,54599,27,Master's,0.24,1.24,0.49,Medium
Software Engineer,68921,19,Master's,0.35,1.45,0.64,Medium
Marketing Manager,140747,11,PhD,0.65,1.46,0.43,Medium
Financial Analyst,138809,19,Bachelor's,0.82,0.93,0.34,Medium
Mechanic,35983,19,Bachelor's,0.33,0.61,0.54,Medium
Security Guard,47946,7,High School,0.72,1.38,0.86,High
Truck Driver,138295,29,Master's,0.2,0.53,0.83,High
Nurse,97806,11,Master's,0.55,1.46,0.24,Low
Data Scientist,111339,0,Bachelor's,0.46,1.14,0.34,Medium
Data Scientist,70720,17,Bachelor's,0.86,1.43,0.6,Medium
HR Specialist,50914,19,Bachelor's,0.73,1.33,0.6,Medium
Financial Analyst,112684,28,Bachelor's,0.17,1.3,0.49,Medium
HR Specialist,55568,19,PhD,0.56,1.2,0.62,Medium
Graphic Designer,130965,29,High School,0.51,0.96,0.7,Medium
Doctor,38861,29,Bachelor's,0.9,1.47,0.22,Low
Teacher,88812,18,Bachelor's,0.76,1.33,0.29,Low
Financial Analyst,104900,16,PhD,0.35,0.96,0.36,Medium
AI Engineer,121814,0,High School,0.51,0.97,0.24,Low
Retail Worker,112283,22,PhD,0.03,1.04,0.93,High
AI Engineer,79678,0,Bachelor's,0.77,1.16,0.1,Low
Nurse,136020,27,Bachelor's,0.82,1.47,0.1,Low
Software Engineer,127155,3,PhD,0.75,0.89,0.66,Medium
Teacher,94813,15,Bachelor's,0.52,1.25,0.08,Low
Software Engineer,127501,7,PhD,0.45,1.31,0.4,Medium
Construction Worker,90843,27,Master's,0.83,0.56,0.74,High
Financial Analyst,34715,6,PhD,0.9,0.9,0.45,Medium
Data Scientist,44870,15,PhD,0.72,0.72,0.41,Medium
Retail Worker,45432,11,High School,0.44,1.07,0.82,High
Mechanic,102964,5,High School,0.74,0.99,0.43,Medium
Data Scientist,127677,13,Bachelor's,0.64,0.84,0.35,Medium
Retail Worker,36918,16,Bachelor's,0.24,1.25,0.92,High
Chef,78634,1,High School,0.76,1.27,0.57,Medium
Security Guard,95199,20,PhD,0.4,1.04,0.86,High
Security Guard,115062,6,Bachelor's,1,1.1,0.71,High
Lawyer,119007,17,Bachelor's,0.78,1.19,0.48,Medium
Nurse,58333,13,PhD,0.64,1,0.14,Low
Data Scientist,140415,12,PhD,0.52,0.64,0.38,Medium
Lawyer,89151,21,PhD,0.81,0.59,0.45,Medium
Truck Driver,62784,17,Master's,0.85,1.31,0.75,High
Lawyer,143268,17,Master's,0.41,0.94,0.32,Medium
Truck Driver,85134,17,Bachelor's,0.79,1.21,0.76,High
Chef,87109,10,Master's,0.09,0.99,0.55,Medium
Software Engineer,114116,1,Master's,0.83,1.04,0.51,Medium
Research Scientist,39495,3,Master's,0.05,1.11,0.08,Low
Data Scientist,115380,12,PhD,0.87,0.66,0.67,Medium
Chef,117843,5,Master's,0.85,0.67,0.58,Medium
Financial Analyst,84104,12,Bachelor's,0.02,1.11,0.63,Medium
Software Engineer,81179,29,Master's,0.71,0.94,0.37,Medium
Nurse,120404,26,Bachelor's,0.15,0.76,0.14,Low
Research Scientist,127119,25,High School,0.99,0.57,0.15,Low
Software Engineer,84232,19,Master's,0.68,1.04,0.62,Medium
Construction Worker,38689,14,Bachelor's,0.59,1.47,0.74,High
Retail Worker,143466,16,High School,0.64,1.37,0.9,High
UX Researcher,141038,14,PhD,0.86,1.04,0.42,Medium
Customer Support,117526,20,Master's,0.17,0.64,0.84,High
Lawyer,99503,19,Bachelor's,0.41,0.52,0.57,Medium
Teacher,39157,6,Master's,0.12,0.83,0.23,Low
Graphic Designer,143565,6,PhD,0.4,1.32,0.58,Medium
Research Scientist,107952,16,Master's,0.43,0.52,0.11,Low
Mechanic,81224,2,PhD,0.45,1.11,0.43,Medium
Data Scientist,49517,21,Bachelor's,0.88,0.66,0.33,Medium
Chef,70849,22,Bachelor's,0.11,1.21,0.39,Medium
HR Specialist,142277,24,Master's,0.79,1.22,0.64,Medium
Security Guard,137251,25,High School,0.61,0.96,0.72,High
Mechanic,42979,1,Bachelor's,0.08,0.8,0.51,Medium
AI Engineer,102868,7,Bachelor's,0.29,1.31,0.17,Low
Customer Support,31649,0,Bachelor's,0.57,1.42,0.8,High
Graphic Designer,91305,20,High School,0.12,0.62,0.67,Medium
UX Researcher,38738,16,High School,0.77,0.76,0.43,Medium
Financial Analyst,55775,24,High School,0.77,1.21,0.59,Medium
Mechanic,45569,3,PhD,0.6,1.31,0.56,Medium
Doctor,89327,3,Bachelor's,0.47,0.58,0.12,Low
UX Researcher,142674,24,Bachelor's,0.18,0.54,0.33,Medium
Construction Worker,67602,10,Bachelor's,0.71,1.24,0.87,High
Mechanic,68057,12,Bachelor's,0.36,0.64,0.46,Medium
Financial Analyst,108104,26,Master's,0.1,0.75,0.41,Medium
Doctor,139418,27,Bachelor's,0.04,0.98,0.26,Low
Graphic Designer,65411,11,High School,0.8,1.41,0.53,Medium
Financial Analyst,139497,2,Bachelor's,0.22,1.42,0.59,Medium
AI Engineer,53043,0,High School,0.92,1.45,0.17,Low
Financial Analyst,139732,15,PhD,0.98,0.89,0.64,Medium
Lawyer,146332,27,Master's,0.81,0.82,0.5,Medium
Retail Worker,110314,5,Bachelor's,0.82,0.58,0.85,High
HR Specialist,147230,13,PhD,0.5,0.87,0.6,Medium
Research Scientist,107271,15,Master's,0.32,0.64,0.05,Low
Retail Worker,135812,28,PhD,0.74,0.54,0.87,High
Graphic Designer,138613,9,PhD,0.28,0.88,0.56,Medium
Nurse,82774,4,Master's,0.37,1.17,0.11,Low
Truck Driver,44436,10,Bachelor's,0.04,0.82,0.84,High
Truck Driver,41573,6,High School,0.1,1.2,0.79,High
Research Scientist,99269,3,Bachelor's,0.74,0.82,0.08,Low
Data Scientist,55734,17,PhD,0.1,1.06,0.35,Medium
Chef,43764,25,Bachelor's,0.41,0.8,0.33,Medium
Truck Driver,40485,2,High School,0.69,1.17,0.74,High
Security Guard,83804,21,Bachelor's,0.22,0.54,0.84,High
Financial Analyst,97635,18,High School,0.35,0.74,0.33,Medium
Security Guard,100880,19,Bachelor's,0.65,1.26,0.78,High
Nurse,74344,20,Bachelor's,0.37,1.05,0.24,Low
Lawyer,122424,26,Master's,0.12,0.53,0.42,Medium
HR Specialist,131388,29,Bachelor's,0.34,0.98,0.57,Medium
Doctor,146649,9,High School,0.14,0.97,0.13,Low
Data Scientist,79117,3,PhD,0.01,1.24,0.59,Medium
Truck Driver,45685,27,High School,0.57,1.49,0.85,High
Retail Worker,134031,16,Master's,0.91,0.72,0.91,High
Nurse,67595,16,High School,0.13,1.44,0.24,Low
Marketing Manager,54541,1,Master's,0.24,1.22,0.36,Medium
Construction Worker,118598,7,Bachelor's,0.66,0.97,0.82,High
HR Specialist,70785,10,High School,0.6,1.13,0.61,Medium
Marketing Manager,131633,28,High School,0.18,0.81,0.61,Medium
UX Researcher,90359,15,Master's,0.68,0.87,0.59,Medium
Nurse,55642,3,Bachelor's,0.82,0.88,0.23,Low
HR Specialist,117657,0,Master's,0.52,1.17,0.32,Medium
HR Specialist,128525,0,High School,0.5,1.12,0.43,Medium
Mechanic,41360,18,Bachelor's,0.11,1.09,0.57,Medium
Construction Worker,135190,10,Master's,0.15,0.83,0.73,High
Lawyer,81747,21,High School,0.48,0.77,0.45,Medium
Customer Support,131809,2,High School,0.28,0.64,0.78,High
Retail Worker,145070,14,Master's,0.28,0.76,0.82,High
Security Guard,98688,8,Master's,0.8,0.65,0.79,High
Security Guard,53545,7,Bachelor's,0.03,0.57,0.8,High
Software Engineer,138322,14,PhD,0.43,1.12,0.31,Medium
Marketing Manager,37965,2,PhD,0.78,1.36,0.66,Medium
Mechanic,52546,18,PhD,0.28,1.47,0.61,Medium
Research Scientist,57774,12,Bachelor's,0,1.05,0.11,Low
